Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Mongolia,MNG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,6.2,6.77,..,..,7.19,7.2,5.56,5.86,6.55,4.77,3.9,4.23,4.8,4.86,7.24,6.36,5.38,9.27,6.59,7.75,6.21
Mongolia,MNG,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-796500000,-825000000,-792900000,-700600000,-768400000,-1058700000,-979000000,-998800000,-1145420000,-582840000,-131150000,-56540000,-12250000,-12160000,-12800000,-93400000,28080000,-131700000,-127073387,-157716914.2,-192100875.9,-238185462.6,-248748022.7,-195393857.1,-85895239.49,203385615.5,57014926.73,-738677897.1,-332006178.5,-474918588.3,-3517358045,-4455747640,-3917924200,-1111497489,-152864021,-497135.7352,277604026.6,-763750656.8,-833604448.6,305323153.5,-305729911.4,-1122520106
Mongolia,MNG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,56.69166574,55.49257441,54.33455258,53.30613098,52.36373172,51.41571637,50.52768785,49.7641039,49.19748002,48.93512652,48.88067243,48.86170988,48.88434126,48.96568765,49.11052743,49.3398192,49.65981278,50.07373534,50.57052928,51.09131629,51.57432058,52.00253447,52.39519429,52.75846251,53.07963232,53.35116384,53.58168284,53.80597046,54.06491363,54.39938571,54.80646404,55.25362414,55.75138045,56.31090712,56.92137837,57.55631115,58.19825179,58.86538654,59.59881479,60.41365253,61.37109674,62.43031124,63.48287864,64.52863127,65.53723105,66.45256139,67.20801459,67.73982468,68.03859314,68.12592284,68.10245623,68.08312872,67.99646104,67.75314583,67.37678587,66.87444146,66.28359054,65.61869,64.87907203,64.12880776,63.53770943,63.1501001,62.92421122
Mongolia,MNG,"Population, total",SP.POP.TOTL,977903,1011502,1045315,1075888,1104017,1134072,1165746,1198197,1230406,1261887,1293880,1327781,1363835,1402309,1443130,1485691,1529084,1572516,1615868,1657448,1697780,1739221,1781797,1825773,1871652,1919744,1969912,2021502,2073771,2120825,2161433,2200077,2236494,2270311,2301510,2330334,2357033,2381771,2405148,2428488,2450979,2472601,2494617,2516454,2537949,2559255,2581242,2605643,2633887,2666713,2702520,2743938,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2310099100,2552401933,2725736633,2098734600,2186505475,2896178867,3020611600,3204461567,3576966800,2560785660,2379018326,1317611864,768401634.2,925817092.2,1452165005,1345719472,1180934203,1124440204,1057408589,1136896124,1267997934,1396555720,1595297356,1992066808,2523471602,3414055663,4234999703,5623216610,4583850368,7189482001,10409797375,12292770631,12582122604,12226514666,11619892593,11181350649,11480847740,13178094720,14206359016,13312981427,15286441740,16810883361
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1627.064997,1909.598702,2106.635068,2789.159065,3380.165121,3674.617924,4425.678873,5976.394145,7367.751909,6727.107767,6688.402684,7328.790465,6586.398684,7188.862445,7387.871036,6517.189614,7033.438006,7803.362579,8850.378404,8909.653336,7677.369141,9465.966408,9893.515907
Montenegro,MNE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.797720015,1.018740058,0.924430013,1.229910016,1.145210028,..,..,..,0.314850003,..,0.374309987,0.363200009,0.374000013,0.324539989,0.34898001,0.503740013,0.363279998,..,..,..
Montenegro,MNE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montenegro,MNE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.31,..,19.4,17.15,19.09,19.65,19.76,19.81,19.59,18.05,17.55,17.73,16.08,15.19,15.13,17.88,16.54,..
Montenegro,MNE,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1588601287,-2431833171,-1278506163,-1064300255,-977371674,-1005754872,-900221249.5,-909752754.1,-746505642,-978848488.3,-1120803359,-1319279618,-1175546382,-1669085978,-1135117796,-1435707407
